xl,xr,yl,yr,zl,zr
-0.94707265,-0.980683761,0.175790598,0.146773504,0.14232906,-0.114978632
-0.947094017,-0.980576923,0.175790598,0.146752137,0.142393162,-0.115
-0.947115385,-0.980448718,0.175790598,0.146773504,0.142371795,-0.114957265
-0.94715812,-0.980384615,0.175747863,0.146837607,0.14232906,-0.114893162
-0.947264957,-0.980363248,0.175769231,0.146837607,0.142350427,-0.11491453
-0.947435897,-0.980363248,0.175833333,0.146688034,0.14241453,-0.115042735
-0.94758547,-0.980320513,0.175897436,0.146495726,0.142435897,-0.115106838
-0.94767094,-0.98025641,0.175918803,0.146367521,0.142435897,-0.115064103
-0.94775641,-0.980192308,0.175876068,0.146324786,0.14241453,-0.115
-0.947628205,-0.980128205,0.175854701,0.146324786,0.142435897,-0.114957265
-0.947521368,-0.98008547,0.175833333,0.146388889,0.1425,-0.115
-0.947628205,-0.980064103,0.175811966,0.146410256,0.142478632,-0.115021368
-0.947649573,-0.980021368,0.175811966,0.146388889,0.142478632,-0.114957265
-0.947564103,-0.980021368,0.175769231,0.146388889,0.14258547,-0.114978632
-0.94741453,-0.980064103,0.175683761,0.146388889,0.142692308,-0.115042735
-0.947264957,-0.979978632,0.175641026,0.146346154,0.142735043,-0.115149573
-0.94724359,-0.979764957,0.175705128,0.146303419,0.142799145,-0.115299145
-0.947286325,-0.979679487,0.175790598,0.146282051,0.14284188,-0.11542735
-0.947350427,-0.979636752,0.175811966,0.146239316,0.142905983,-0.115534188
-0.947435897,-0.97957265,0.175769231,0.146217949,0.142970085,-0.115576923
-0.947564103,-0.979615385,0.175769231,0.146239316,0.142970085,-0.115598291
-0.947735043,-0.979722222,0.175811966,0.146196581,0.14292735,-0.115598291
-0.947799145,-0.979807692,0.175833333,0.146132479,0.142905983,-0.115534188
-0.947799145,-0.979871795,0.175811966,0.146047009,0.14284188,-0.115470085
-0.947777778,-0.979935897,0.175747863,0.145940171,0.142713675,-0.115405983
-0.947649573,-0.979957265,0.175726496,0.145833333,0.142606838,-0.115277778
-0.947628205,-0.979978632,0.175662393,0.145790598,0.142606838,-0.115064103
-0.947649573,-0.979978632,0.175576923,0.145790598,0.14258547,-0.11482906
-0.947606838,-0.979893162,0.175470085,0.145747863,0.142521368,-0.114700855
-0.9475,-0.97974359,0.175405983,0.145705128,0.142478632,-0.114615385
-0.947393162,-0.97965812,0.17542735,0.145705128,0.142457265,-0.11457265
-0.94741453,-0.97974359,0.175470085,0.145769231,0.142435897,-0.114529915
-0.947457265,-0.979850427,0.175491453,0.145854701,0.142393162,-0.114444444
-0.947435897,-0.979957265,0.175405983,0.145982906,0.142435897,-0.114316239
-0.947371795,-0.980192308,0.175277778,0.146004274,0.14258547,-0.114188034
-0.947350427,-0.98042735,0.175277778,0.145897436,0.142713675,-0.114038462
-0.947393162,-0.980534188,0.175320513,0.145854701,0.142735043,-0.113867521
-0.9475,-0.980491453,0.175384615,0.145833333,0.142713675,-0.113846154
-0.94758547,-0.980470085,0.17542735,0.145747863,0.142735043,-0.113846154
-0.94758547,-0.980491453,0.17534188,0.145705128,0.14275641,-0.113846154
-0.947542735,-0.980555556,0.175277778,0.145705128,0.142735043,-0.113910256
-0.947606838,-0.980534188,0.175277778,0.145662393,0.14275641,-0.113995726
-0.94767094,-0.980384615,0.175299145,0.145619658,0.142799145,-0.114017094
-0.94767094,-0.980277778,0.175299145,0.145641026,0.14275641,-0.113931624
-0.947628205,-0.980277778,0.17534188,0.145726496,0.142713675,-0.113824786
-0.947564103,-0.980277778,0.175384615,0.145811966,0.14275641,-0.113824786
-0.947478632,-0.980235043,0.175299145,0.145961538,0.142735043,-0.113824786
